show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cada Minuto Cuenta,"Alfredo Félix-Díaz, Victoria Orvañanos, Natalia Quevedo, Alejandro Valenzuela, Jorge Michel Grau, Venancio Villalobos, Jorge Michel Grau, Juan Manuel Borbolla",Prime Video,Amazon Studios,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Friends,"Lauren Herstik (w, ep), Adam Goodman (ep)",HBO,Invisible Narratives,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy,"Robin Veith (ep), Nick Antosca (ep), Michael Uppendahl (d, ep), Jessica Biel (ep), Michelle Purple (ep), Alex Hedlund (ep), Jim Atkinson (p), John Bloom (p)",Hulu,"UCP,20th Television",2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Career Opportunities in Murder and Mayhem,"Mike Weiss (w, ep, sr), Heidi Cole McAdams (w, ep, sr), Marc Webb (d, ep)",Hulu,ABC Signature,2021-01-01,Drama,,,Original,,Limited,"How do you solve a murder in a post-fact world? Especially when sailing the Mediterranean on an ocean liner filled with the wealthy and powerful. Everyone on board is hiding something… but is one of them a killer? That’s what the World’s Once Greatest Detective, Rufus Cotesworth, and his protégée aim to discover. The truth at all cost.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cars on the Road,,Paramount+,,2023-01-01,Comedy,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief of War,"Jason Momoa, Thomas Pa'a Sibbett, Doug Jung, Justin Chon, Francis Lawrence, Peter Chernin, Jenno Topping, Erik Holmberg, Molly Allen, Brian Mendoza, Anders Engstrom",Apple TV+,Fifth Season,2023-01-01,Drama,Historical,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citadel,"Josh Appelbaum, André Nemec, Jeff Pinkner, Scott Rosenberg, Patrick Moran, Mike Larocca, Joe Russo, Anthony Russo, Priyanka Chopra Jonas, Richard Madden, Ashleigh Cummings",Prime Video,Amazon Studios,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City on Fire,"Josh Schwartz, Stephanie Savage, Jesse Peretz, Lis Rowinski",Apple TV+,Apple Studios,2023-01-01,Drama,Mystery,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarice,"Alex Kurtzman (w, ep), Jenny Lumet (w, ep), Elizabeth Klaviter (ep, sr), Heather Kadin (ep), Aaron Baiers (co-ep)",CBS,"MGM Television, CBS Television Studios,Secret Hideout ",2020-01-01,Drama,,,Original,,,"Clarice is set in 1993, a year after the events of The Silence of the Lambs. The series is a deep dive into the untold personal story of Clarice Starling, as she returns to the field to pursue serial murderers and sexual predators while navigating the high stakes political world of Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class of '09,"Tom Rob Smith (w, ep), Nina Jacobson (w, ep), Brad Simpson (ep), Nellie Reed (p)",Hulu,FX Productions,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
