show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So Help Me Todd,,CBS,,2022-01-01,Comedy,,,Original,,,FKA Untitled Mother & Son Legal Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Distancing,"Hilary Weisman Graham, Jenji Kohan, Tara Herrmann, Blake McCormick, Diego Velasco",Netflix,Netflix,2021-01-01,Drama,Anthology,8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solos,"David Weil, Sam Taylor-Johnson, Laura Lancaster, Pixie Wespiser, Zach Braff, Tiffany Johnson",Prime Video,Amazon Studios,2021-01-01,Drama,Anthology,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somebody Somewhere,"Hannah Bos, Paul Thureen, Carolyn Strauss, Patricia Breen, Jay Duplass, Mark Duplass, Mel Eslyn, Tyler Romary",HBO,The Mighty Mint,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulmates,"Will Bridges, Brett Goldstein, Jolyon Symonds, Rob Savage, Marco Kreuzpaintner, Andrea Harkin",AMC,Fearless Minds,2023-01-01,Drama,"Science Fiction, Anthology",6,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing By,"Danielle Uhlarik (w, ep), Dan Levy (ep), Ally Pankiw (ep)",Hulu,20th Television Animation,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Trek: Starfleet Academy,"Alex Kurtzman (ep, sr), Noga Landau (ep, sr), Gaia Violo (wep), Aaron Baiers (ep), Jenny Lumet (ep), Rod Roddenberry (ep), Trevor Roth (ep), Frank Siracusa (ep), John Weber (ep)",Paramount+,"CBS Television Studios, Secret Hideout, Roddenberry Entertainment",2023-01-01,Drama,,,Original,,,"Introduces a young group of cadets who come together to pursue a common dream of hope and optimism. Under the watchful and demanding eyes of their instructors, they will discover what it takes to become Starfleet officers as they navigate blossoming friendships, explosive rivalries, first loves and a new enemy that threatens both the Academy and the Federation itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Ahsoka,"Dave Filoni (w, ep), Jon Favreau (ep)",Paramount+,Marvel Television,2023-01-01,Drama,,,Original,,Limited,"Set five years after the event is 'Return of the Jedi,' it centers on the Ahsoka Tano character that was introduced in 'Star Wars: The Clone Wars' and made live-action debut in 'The Mandalorian.' Plot details under wraps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Andor,"Toby Haynes (d), Ben Caron (d), Susanna White (d), Stephen Schiff (w), Tony Gilroy (w)",Paramount+,Lucasfilm,2023-01-01,Drama,,,Original,,Limited,Centers on Cassian Andor character prior to the events of 'Rogue One' in the early days of the rebellion against the Empire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Young Jedi Adventures,,Paramount+,,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Eleven,"Patrick Somerville (w, ep, sr), Hiro Murai (d, ep), Scott Steindorff (ep), Scott Delman (ep), Jessica Rhoades (ep), Dylan Russell (ep), Jeremy Podeswa (ep), Nate Matteson (ep), Nick Cuse (co-ep), David Nicksay (co-ep)",HBO,Paramount Television,2021-01-01,Drama,,,Book,,Limited,The post-apocalyptic saga spanning multiple timelines tells the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what’s been lost. Based on the novel by Emily St. John Mandel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Man,"Aaron Zelman, Paul Lieberstein, Bob Odenkirk, Peter Farrelly, Richard Russo, Naomi Odenkirk, Marc Provissiero",AMC,TriStar Television,2023-01-01,Drama,,8,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio,"Michael Patrick King (ep), Sarah Jessica Parker (ep), Cynthia Nixon (ep), Kristin Davis (ep), Samantha Irby (w), Rachna Fruchbom (w), Keli Goff (w), Julie Rottenberg (w), Elisa Zuritsky (w)",HBO,,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject to Change,"Jennifer Yale (w, ep, sr), J.J. Abrams (ep), Ben Stephenson (ep), Rachel Rusch Rich (co-ep)",HBO,"Bad Robot, Warner Bros. Television",2021-01-01,Drama,,,Original,,,"A desperate college student signs up for a clinical trial that begins a wild, harrowing, mind- and reality-bending adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny,"Katie Robbins, Lucy Tcherniak, Ravi Nandan, Jess Lubben",Apple TV+,A24,2023-01-01,Drama,"Science Fiction, Mystery",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercrooks,Mark Millar,Netflix,Netflix,2021-01-01,Action,"Superhero, Crime",,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface,"Veronica West, Reese Witherspoon, Lauren Neustadter, Sam Miller",Apple TV+,Hello Sunshine,2023-01-01,Drama,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfside Girls,"May Chan, Alex Diaz, Julie Sagalowsky Diaz, America Young, Paul Stupin, Lydia Antonini, Paul Davidson, Jeff Brustrom",Apple TV+,Endeavor Content,2023-01-01,Comedy,"Action, Fantasy",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swagger,"Reggie Rock Bythewood, Kevin Durant, Brian Grazer, Francie Calfo, Rich Kleiman",Apple TV+,Imagine Television Studios,2023-01-01,Drama,Sports,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Tooth,"Jim Mickle, Beth Schwartz, Robert Downey Jr., Susan Downey, Amanda Burrell, Linda Moran, Evan Moore",Netflix,Team Downey,2021-01-01,Drama,"Fantasy, Action, Science Fiction",8,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tales of the Walking Dead,"Channing Powell, Scott M. Gimple",AMC,AMC Studios,2023-01-01,Drama,Anthology,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tall Pines,"Mae Martin, Ryan Scott, Ben Farrell, Hannah Mackay, Jennifer Kawaja, Bruno Dubé",Netflix,Netflix Canada,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell Me Lies,"Meaghan Oppenheimer (w, ep), . Emma Roberts (ep), Karah Preiss (ep), Laura Lewis (ep), Shannon Gibson (ep), Carola Lovering (cp)",Hulu,20th Television,2021-01-01,Drama,,,Book,,,"Follows a tumultuous but intoxicating relationship as it unfolds over the course of eight years. When Lucy Albright and Stephen DeMarco meet at college, they are at that formative age when seemingly mundane choices lead the way to irrevocable consequences. Although their relationship begins like any typical campus romance, they quickly fall into an addictive entanglement that will permanently alter not only their lives but the lives of everyone around them. Based on Carola Lovering’s novel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Year Old Tom,"Steve Dildarian (w, ep)",HBO,Tomorrow Studios,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That '90s Show,"Gregg Mettler, Bonnie Turner, Terry Turner, Lindsay Turner, Kurtwood Smith, Debra Jo Rupp, Marcy Carsey, Tom Werner",Netflix,,2023-01-01,Comedy,,10,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That Black Ass Show,"Lorne Michaels (ep), Erin Doyle (ep)",HBO,"Universal Television, Broadway Video",2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 'Burbs,Keke Palmer,Peacock,,2024-09-05,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 4400,"Ariana Jackson, Anna Fricke",CW,,2021-02-09,Sci-Fi,Drama,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Abandons,"Kurt Sutter, Lena Headey, Gillian Anderson",Netflix,,2023-01-01,Drama,,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Acolyte,"Leslye Headland (w, d, ep, sr), Kathleen Kennedy (ep), Simon Emanuel (ep), Jeff F. King (ep), Jason Micallef (ep), Rayne Roberts (p), Damian Anderson (p)",Paramount+,Lucasfilm,2023-01-01,Drama,,,Original,,,"Revolves around shadowy secrets and emerging dark-side powers in the final days of the High Republic era. A former Padawan reunites with her Jedi Master to investigate a series of crimes, but the forces they confront are more sinister than they ever anticipated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Afterparty,"Chris Miller, Phil Lord",Apple TV+,Sony Pictures Television,2023-01-01,Comedy,Mystery,8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Agency,"George Clooney, Michael Fassbender",Paramount+,,2024-06-24,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Baby,"Robins-Grace (w, ep), Nicole Kassell (d, ep), Siân Robins-Grace (ep), Carolyn Strauss (ep), Naomi de Pear (ep), Katie Carpenter (ep), Robins-Grace (ep), Lucy Gaymer (p)",HBO,"HBO, Sky, SISTER Proverbial Pictures",2021-01-01,Comedy,,,Original,,,"When 38-year-old Natasha is unexpectedly landed with a baby, her life of doing what she wants, when she wants, dramatically implodes. Controlling, manipulative and with violent powers, the baby twists Natasha’s life into a horror show. Where does it come from? What does it want? And what lengths will Natasha have to go to in order to get her life back?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Batman: Gotham PD,"Matt Reeves, Joe Barton (ep, sr), Dylan Clark (ep), Daniel Pipski (ep), Adam Kassan (ep), Rafi Crohn (co-ep)",HBO,"6th & Idaho Productions, Warner Bros. Television",2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bondsman,"Grainger David, Erik Oleson, Kevin Bacon, Jason Blum",Prime Video,Blumhouse Television,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Boba Fett,"Jon Favreau (w, ep), Dave Filoni (ep), Robert Rodriguez (d, ep), Kathleen Kennedy (ep), Colin Wilson (ep), Karen Gilchrist (co-ep), Carrie Beck (co-ep), John Bartnicki (p), John Hampian (co-p)",Paramount+,Lucasfilm,2023-01-01,Drama,,,Book,,,Focuses on 'Star Wars' characters Boba Fett and Fennec Shand in spinoff from 'The Mandalorian' set within that series' timeline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boroughs,"Jeffrey Addiss, Will Matthews, Matt Duffer, Ross Duffer, Hilary Leavitt",Netflix,Upside Down Pictures,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys: Diabolical,"Simon Racioppa, Eric Kripke, Seth Rogen, Evan Goldberg",Prime Video,Amazon Studios,2021-01-01,Drama,,,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers Garcia,"Jeff Valdez (ep), Joey Gutierrez (w)",HBO,New Cadence Productions,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers Sun,"Brad Falchuk (Writer, Showrunner, Executive Producer), Byron Wu (Writer, Executive Producer), Kevin Tancharoen (Executive Producer), Mikkel Bondesen (Executive Producer)",Netflix,20th Television,2023-01-01,Drama,Action,8,Original,,,"Charles Sun is a Taipei gangster who has settled into his life as a ruthless killer. But when his father is shot by a mysterious assassin, Charles must go to Los Angeles to protect his mother and utterly unaware younger brother Bruce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chair,"Amanda Peet, Annie Julia Wyman, Sandra Oh, David Benioff, D.B. Weiss, Bernie Caulfield",Netflix,Netflix,2021-01-01,Drama,,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chair Company,"Tim Robinson, Zach Kanin, Adam McKay, Todd Schulman, Andrew DeYoung",HBO,Hyperobject Industries,2025-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Changeling,"Kelly Marcel, Melina Matsoukas, Megan Ellison, Sue Naegle, Patrick Chu, Ali Krug, Khaliah Neal, Victor LaValle",Apple TV+,"Point Grey Pictures,Limelight,Annapurna Television",2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Company You Keep,"Julia Cohen (w, ep), Milo Ventimiglia (ep), Jon M. Chu (ep), Todd Harthan (ep), Caitlin Foito (ep), Russ Cundiff (ep), Lindsay Goffman (ep), Deanna Harris (ep)",ABC,20th Television,2022-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consultant,"Tony Basgallop, Matt Shakman, Christoph Waltz, Steve Stark, Andrew Mittman, Nat Wolff, Brittany O'Grady, Aimee Carrero",Prime Video,MGM Television,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Corps,"Andy Parker, Norman Lear, Brent Miller, Rachel Davidson, Scott Hornbacher, Perter Hoar, Greg Cope White",Netflix,Act III Productions,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crossover,"Kwame Alexander (w, ep), Damani Johnson (w, ep), Dee Johnson (ep), Bob Teitel (ep), Jay Marcus (ep), George Tillman Jr. (d, ep), LeBron James (ep)",Paramount+,"20th Television, State Street Pictures",2023-01-01,Drama,,,Original,,,"The story of 14-year-old basketball phenom brothers Josh and JB Bell, who come of age on and off the court as their former pro-baller father adjusts to life after basketball and matriarch mother finally gets to pursue dreams of her own.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crowded Room,"Akiva Goldsman, Tom Holland, Alexandra Milchan, Arnon Milchan, Yariv Milchan, Michael Schaefer",Apple TV+,New Regency Productions,2023-01-01,Drama,,10,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil in the White City,"Sam Shaw (w, ep), Martin Scorsese (ep), Rick Yorn (ep), Leonardo DiCaprio (ep), Jennifer Davisson (ep), Stacey Sher (ep), Mark Lafferty (ep)",Hulu,"ABC Signature, Paramount Television",2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil's Hour,"Tom Moran, Steven Moffat, Sue Vertue, Johnny Allan",Prime Video,Hartswood Films,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Diplomat,"Debora Cahn (Writer, Showrunner, Executive Producer), Keri Russell (Actor)",Netflix,Other,2023-01-01,Drama,,8,Original,,,"In the midst of an international crisis, a career diplomat lands in a high-profile job she’s unsuited for, with tectonic implications for her marriage and her political future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Driver,"Danny Brocklehurst, Sunu Gonera, Theo Traver, Giancarlo Esposito, Josh Kesselman, Danny Sherman, Barry Jossen, Tana Jamieson",AMC,AMC Studios,2023-01-01,Drama,"Crime, Thriller",6,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dropout,"Elizabeth Meriwether (ep), Liz Heldens (ep), Liz Hannah (ep), Rebecca Jarvis (ep), Taylor Dunn (ep), Victoria Thompson (ep), Michael Showalter (d, ep), Jordana Mollick (ep)",Hulu,Fox Searchlight TV,2021-01-01,Drama,,,Comic,,Limited,"Follows the rise and fall of Elizabeth Holmes, a chemical engineering prodigy who dropped out of Stanford to launch a healthcare technology company promising to revolutionize blood testing, which became Theranos. The highflying tech startup eventually was exposed as “massive fraud."" Based on the ABC News/ABC Radio podcast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The English,"Hugo Blick, Emily Blunt, Greg Brenman, Mona Qureshi",Prime Video,Drama Republic,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Equalizer,"Andrew Marlowe (w, ep, sr), Terri Miller (w, ep, sr), Dana Owens (ep), John Davis (ep), John Fox (ep), Debra Martin Chase (ep), Richard Lindheim (ep), Liz Friedlander (d, ep)",CBS,"Universal Television,CBS Television Studios",2020-01-01,Drama,,,Original,,,An enigmatic figure uses her extensive skills to help those with nowhere else to turn. A new take on the character played by Edward Woodward on the original series and by Denzel Washington in the movie franchise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Essex Serpent,"Anna Symon, Clio Barnard, Jamie Laurenson, Hakan Kousetta, Patrick Walters, Iain Canning, Emile Sherman, Andrea Cornwell",Apple TV+,See-Saw Films,2023-01-01,Drama,Fantasy,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Falcon and the Winter Soldier,"Malcolm Spellman (ep), Kari Skogland (d)",Paramount+,Marvel Television,2023-01-01,Drama,,,Original,,,"Spinoff of the Captain America movies, Falcon (aka Sam Wilson) and The Winter Soldier (aka Bucky Barnes). Details under wraps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fall of the House of Usher,"Mike Flanagan (Writer, Director, Executive Producer), Trevor Macy (Director, Executive Producer), Emmy Grinwis (Executive Producer), Michael Fimognari (Executive Producer), Melinda Nishioka (Executive Producer)",Netflix,Other,2023-01-01,Drama,,8,Book,,Limited,"Described as an epic tale of greed, horror, and tragedy, the series is based on Edgar Allan Poe's short story about madness, family, isolation and identity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flight Attendant,"Steve Tockey (w, ep), Meredith Hunter (ep, sr), Marciw Ulin (ep, sr), Kaley Cuoco (ep), Greg Berlanti (ep), Sarah Schechter (ep), Susanna Fogel (d, ep)",HBO,"Warner Bros. Television, Berlanti Productions,Yes, Norman",2021-01-01,Drama,,10,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Franchise,"Jon Brown, Marina Hyde, Keith Akushie, Armando Iannucci, Sam Mendes, Pippa Harris, Nicolas Brown, Julie Pastor, Jim Kleverweis",HBO,,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gentlemen,"Guy Ritchie, Matthew Read, Ivan Atkinson, Marn Davies, Bill Block, Marc Helwig, Will Gould, Frith Tiplady, Hugh Warren",Netflix,Miramax Television,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gilded Age,"Julian Fellowes, Sonja Warfield, Gareth Neame, Michael Engler, David Crockett, Salli Richardson-Whitfield",HBO,HBO,2021-01-01,Drama,Historical,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl From Plainville,"Liz Hannah (w, ep, sr), Patrick Macmanus (w, ep, sr), Brittany Kahan Ward (ep), Lisa Cholodenko (d), Jesse Barron (cp), Erin Lee Carr (cp)",Hulu,UCP,2021-01-01,Drama,,,True Story,,Limited,"Inspired by the true story of the controversial “texting-suicide” case, it follows Michelle Carter's relationship with Conrad Roy III and the events that led to his death and, later, her controversial conviction of involuntary manslaughter. Based on the Esquire article by Jesse Barron.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girls on the Bus,"Julie Plec (w, ep), Amy Chozick (w, ep), Rina Mimoun (ep, sr), Greg Berlanti (ep), Sarah Schechter (ep), David Madden (ep)",HBO,"Berlanti Productions, Warner Bros. Television",2021-01-01,Drama,,,Original,,,"Chronicles four female journalists who follow every move of a parade of flawed presidential candidates while finding friendship, love, and scandal along the way. Inspired by a chapter of Amy Chozick’s book 'Chasing Hillary.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Horror of Dolores Roach,"Aaron Mark, Dara Resnik, Gloria Calderón Kellett, Roxann Dawson, Daphne Rubin-Vega, Jason Blum, Chris McCumber, Jeremy Gold, Dawn Ostroff, Mimi O'Donnell, Justin McGoldrick, Justina Machado, Alejandro Hernandez, Kita Updike, K. Todd Freeman",Prime Video,Blumhouse Television,2023-01-01,Drama,,8,Podcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hospital,"Cirocco Dunlap, Maya Rudolph, Natasha Lyonne, Danielle Renfrew Behrens, Shauna McGarry, Shannon Prynoski, Chris Prynoski, Antonio Canobbio, Ben Kalina, Robin Eisenberg, Keke Palmer, Greta Lee, Kieran Culkin, Sam Smith",Prime Video,Amazon Studios,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Idol,"Sam Levinson, Abel ""The Weeknd"" Tesfaye, Reza Fahim, Joseph Epstein, Ashley Levinson, Kevin Turen, Nick Hall, Sara E. White, Aaron Gilbert",HBO,A24,2021-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Days of Ptolemy Grey,"Walter Mosley, Samuel L. Jackson, David Levine, Eli Selden, Diane Houslin, Ramin Bahrani",Apple TV+,Apple Studios,2023-01-01,Drama,,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Frontier,"Jon Bokenkamp, Richard D'Ovidio, Jason Clarke, Sam Hargrave",Apple TV+,Apple Studios,2023-01-01,Drama,"Action, Thriller",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last of Us,"Craig Mazin, Neil Druckmann, Carolyn Strauss, Evan Wells, Asad Qizilbash, Carter Swan, Kantemir Balagov, Jasmila Žbanić, Ali Abbasi",HBO,Sony Pictures Television,2021-01-01,Drama,Science Fiction,,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Thing He Told Me,"Laura Dave, Josh Singer, Reese Witherspoon, Laura Neustadter, Marisa Yeres Gill, Lisa Gillan, Olivia Newman",Apple TV+,20th Television,2023-01-01,Drama,Mystery,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Madness,"Stephen Belber, VJ Boyd, Peter Chernin, Jenno Topping, Kaitlin Dahill, Clément Virgo, Quyen Tran, Jessica Lowrey",Netflix,Chernin Entertainment,2023-01-01,Drama,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mighty Ducks: Game Changers,"Steve Brill (w, ep), Josh Goldsmith (ep, sr), Cathy Yuspa (ep, sr), James Griffiths (d, ep), Michael Spiller (ep), George Heller (ep), Brad Petrigala (ep), Jordan Kerner (ep), Lauren Graham (co-ep)",Paramount+,ABC Signature,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miniature Wife,"Greg Mottola (EP), Elizabeth Banks, Matthew Macfadyen",Peacock,Media Res,2024-10-22,Comedy,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Muppets Mayhem,,Paramount+,,2023-01-01,Comedy,,,Original,,,"After 45 years of rockin’ out, The Electric Mayhem goes on an epic musical journey to finally record their first studio album. With the help of a driven young music executive, Nora, the old-school Muppet band comes face to face with the current day music scene as they try to finally go platinum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mysterious Benedict Society,"Matt Manfredi (w, ep), Phil Hay (w, ep), Todd Slavkin (ep, sr), Darren Swimmer (ep, sr), Jamie Tarses (ep), Karen Kehela Sherwood (ep)",Paramount+,"Sonar Entertainment,20th Television,Fanfare",2023-01-01,Drama,,10,Book,,,"Four gifted orphans are recruited by a rumpled, eccentric, genius benefactor to go on a secret mission. Placed undercover at a boarding school known as The Institute, they must foil a nefarious plot with global ramifications, while creating a new sort of family along the way. Based on the YA novel by Trenton Lee Stewart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nevers,"Jane Espenson, Doug Petrie, Philippa Goslett, Andrew Bernstein, Bernie Caulfield",HBO,HBO,2021-01-01,Drama,Fantasy,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night Agent,"Shawn Ryan (Writer, Showrunner, Executive Producer), Seth Gordon (Director, Executive Producer), Marney Hochman (Executive Producer), Julia Gunn (Executive Producer), Jamie Vanderbilt (Executive Producer)",Netflix,Sony Pictures Television,2023-01-01,Drama,Political,,Book,,,"Centers on a low-level FBI agent who works in the basement of the White House, manning a phone that never rings -- until the night that it does, propelling him into a fast-moving and dangerous conspiracy that ultimately leads all the way to the Oval Office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Man,"Jon Steinberg (w, ep), Robert Levine (w, ep), Warren Littlefield (ep), Jeff Bridges (ep), Dan Shotz (ep), David Schiff (ep)",Hulu,"21 Laps Entertainment, The Littlefield Company",2021-01-01,Drama,,,Original,,,"Dan Chase absconded from the CIA decades ago and has been living off the grid since. When an assassin arrives and tries to take Chase out, the old operative learns that to ensure his future he now must reconcile his past.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The One,"Howard Overman, Johnny Capps, Julian Murphy",Netflix,Urban Myth Films,2021-01-01,Drama,"Science Fiction, Thriller",,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other Black Girl,"Tara Duncan (w, ep), Rashida Jones (ep), Marty Bowen (ep), Wyck Godfrey (ep), Adam Fishbach (ep), Zakiya Dalila Harris (ep), Danielle Henderson (ep, sr)",Hulu,Onyx Collective,2023-01-01,Drama,,,Book,,,"Nella is an editorial assistant who is tired of being the only Black girl at Wagner Books, so she’s excited when Hazel is hired. But as Hazel’s star begins to rise, Nella spirals out and discovers something sinister is going on at the company. Based on the novel by Zakiya Dalila Harris.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Outlaws,"Stephen Merchant, Elgin James, Luke Alkin, Kenton Allen, Matthew Justice, Nickie Sault",Prime Video,Amazon Studios,2021-01-01,Drama,,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Penguin,"Lauren LeFranc (w, ep, sr), Matt Reeves (ep), Dylan Clark (ep), Colin Farrell (ep), Daniel Pipski (ep), Adam Kassan (ep), Rafi Crohn (co-ep)",HBO,"6th & Idaho Productions, Dylan Clark Productions, Warner Bros. Television",2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pentaverate,"Mike Myers, Jeremy Irons, Tony Hernandez, Lilly Burns, John Lyons, Jason Weinberg, Tim Kirkby",Netflix,,2023-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect Couple,"Susanne Bier, Jenna Lamia, Shawn Levy, Josh Barry, Gail Berman, Hend Baghdady, Nicole Kidman, Per Saari",Netflix,21 Laps Entertainment,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Peripheral,"Scott B. Smith, Jonathan Nolan, Lisa Joy, Vincenzo Natali, Athena Wickham, Greg Plageman, Steven Hoban",Prime Video,Amazon Studios,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Power,"Naomi Alderman, Naomi de Pear, Reed Morano, Jane Featherstone, Claire Wilson, Tim Bricknell",Prime Video,Amazon Studios,2021-01-01,Drama,,10,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pradeeps of Pittsburgh,"Vijal Patel, Naveen Andrews, Sindhu Vee, Megan Hilty",Prime Video,,2023-01-19,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prince,"Gary Janetti (w, ep)",HBO,20th Television,2021-01-01,Comedy,,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Proud Family: Louder and Prouder,"Bruce W. Smith (ep), Ralph Farquhar (ep), Calvin Brown Jr. (co-ep), Jan Hirota (p)",Paramount+,Disney Television,2023-01-01,Comedy,,,Comic,,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
