show_name,name,roles,order,notes
Critical Role: The Legend of Vox Machina,Liam O'Brien,,4,No role specified in original data
Critical Role: The Legend of Vox Machina,Matthew Mercer,,5,No role specified in original data
Cruel Intentions,Phoebe Fisher,,1,No role specified in original data
Cruel Intentions,Sara Goodman,,2,No role specified in original data
Cruel Intentions,Catherine Hook,,3,No role specified in original data
Cruel Intentions,Zac Burgess,,4,No role specified in original data
Cruel Intentions,Myra Molloy,,5,No role specified in original data
Cruel Intentions,Khobe Clarke,,6,No role specified in original data
Cruel Intentions,Brooke Lena Johnson,,7,No role specified in original data
Cruel Intentions,Sara Silva,,8,No role specified in original data
Cruel Intentions,Sean Patrick Thomas,,9,No role specified in original data
Cruel Intentions,John Harlan Kim,,10,No role specified in original data
Culprits,J Blakeson,"w, d, ep",1,
Culprits,Stephen Garrett,ep,2,
Culprits,Johanna Devereaux,ep,3,
Culprits,Morenike Williams,p,4,
Daddy Ball,Jason Bateman,,1,No role specified in original data
Daddy Ball,Michael Costigan,,2,No role specified in original data
Daddy Ball,Roxie Rodrigu,,3,No role specified in original data
Daddy Ball,David Klawans,,4,No role specified in original data
Daisy Jones & the Six,Will Graham,,1,No role specified in original data
Daisy Jones & the Six,Scott Neustadter,,2,No role specified in original data
Daisy Jones & the Six,Michael Weber,,3,No role specified in original data
Daisy Jones & the Six,Reese Witherspoon,,4,No role specified in original data
Daisy Jones & the Six,Lauren Neustadter,,5,No role specified in original data
Daredevil: Born Again,Matt Corman,"w, ep",1,
Daredevil: Born Again,Chris Ord,"w, ep",2,
Dark Winds,Vince Calandra,,1,No role specified in original data
Dark Winds,Graham Roland,,2,No role specified in original data
Dark Winds,George R.R. Martin,,3,No role specified in original data
Dark Winds,Robert Redford,,4,No role specified in original data
Dark Winds,Tina Elmo,,5,No role specified in original data
Dark Winds,Vince Gerardis,,6,No role specified in original data
Dark Winds,Chris Eyre,,7,No role specified in original data
Dark Winds,Zahn McClarnon,,8,No role specified in original data
Dead Boy Detectives,Steve Yockey,"w, ep",1,
Dead Boy Detectives,Jeremy Carver,"w, ep",2,
Dead Boy Detectives,Greg Berlanti,ep,3,
Dead Boy Detectives,Sarah Schechter,ep,4,
Dead Boy Detectives,David Madden,ep,5,
Dead Day,Julie Plec,,1,No role specified in original data
Dead Day,Kevin Williamson,,2,No role specified in original data
Dead Ringers,Alice Birch,,1,No role specified in original data
Dead Ringers,Rachel Weisz,,2,No role specified in original data
Dead Ringers,Stacy O'Neil,,3,No role specified in original data
Dead Ringers,Megan Ellison,,4,No role specified in original data
Dead Ringers,Sue Naegle,,5,No role specified in original data
Dead Ringers,Ali Krug,,6,No role specified in original data
Dead Ringers,James G. Robinson,,7,No role specified in original data
Dead Ringers,David Robinson,,8,No role specified in original data
Dead Ringers,Barbara Wall,,9,No role specified in original data
Dead Ringers,Michael Chernus,,10,No role specified in original data
Dead Ringers,Poppy Liu,,11,No role specified in original data
Degrassi,Lara Azzopardi,"w, ep, sr",1,
Degrassi,Julia Cohen,"w, ep, sr",2,
Deli Boys,Abdullah Saeed,"w, ep",1,
Deli Boys,Michelle Nader,"ep, sr",2,
Deli Boys,Jenni Konner,ep,3,
Deli Boys,Nora Silver,ep,4,
Deli Boys,Vali Chandrasekaran,ep,5,
Deli Boys,Nisha Ganatra,"d, ep",6,
Demascus,Tearrance Arvelle Chisholm,,1,No role specified in original data
Demascus,Kirk Moore,,2,No role specified in original data
Demascus,Mark Johnson,,3,No role specified in original data
Demascus,Myki Bajaj,,4,No role specified in original data
Demimonde,J.J. Abrams,,1,No role specified in original data
Demimonde,Ben Stephenson,,2,No role specified in original data
Demimonde,Kira Snyder,,3,No role specified in original data
Demimonde,Rand Ravich,,4,No role specified in original data
Demimonde,Far Shariat,,5,No role specified in original data
Department Q,Chandni Lakhani,,1,No role specified in original data
Department Q,Scott Frank,,2,No role specified in original data
Department Q,Rob Bullock,,3,No role specified in original data
Department Q,Andy Harries,,4,No role specified in original data
Devil in Ohio,Daria Polatin,,1,No role specified in original data
Devil in Ohio,Rachel Miller,,2,No role specified in original data
